sym,sym href,slw,sl,svelte-eurwtr
HNRA,https://stockanalysis.com/stocks/hnra/,HNR Acquisition Corp,Shell Companies,11.79M
HNRG,https://stockanalysis.com/stocks/hnrg/,Hallador Energy Company,Thermal Coal,251.33M
HNST,https://stockanalysis.com/stocks/hnst/,"The Honest Company, Inc.",Household & Personal Products,452.37M
HNVR,https://stockanalysis.com/stocks/hnvr/,"Hanover Bancorp, Inc.",Banks - Regional,124.70M
HOFT,https://stockanalysis.com/stocks/hoft/,Hooker Furnishings Corporation,"Furnishings, Fixtures & Appliances",157.67M
HOFV,https://stockanalysis.com/stocks/hofv/,Hall of Fame Resort & Entertainment Company,Entertainment,14.74M
HOG,https://stockanalysis.com/stocks/hog/,"Harley-Davidson, Inc.",Recreational Vehicles,4.85B
HOLO,https://stockanalysis.com/stocks/holo/,MicroCloud Hologram Inc.,Electronic Components,43.02M
HOLX,https://stockanalysis.com/stocks/holx/,"Hologic, Inc.",Medical Instruments & Supplies,18.59B
HOMB,https://stockanalysis.com/stocks/homb/,"Home Bancshares, Inc. (Conway, AR)",Banks - Regional,5.32B
HON,https://stockanalysis.com/stocks/hon/,Honeywell International Inc.,Conglomerates,130.86B
HOND,https://stockanalysis.com/stocks/hond/,HCM II Acquisition Corp.,Shell Companies,179.75M
HONE,https://stockanalysis.com/stocks/hone/,"HarborOne Bancorp, Inc.",Banks - Regional,519.97M
HOOD,https://stockanalysis.com/stocks/hood/,"Robinhood Markets, Inc.",Capital Markets,17.85B
HOOK,https://stockanalysis.com/stocks/hook/,HOOKIPA Pharma Inc.,Biotechnology,61.48M
HOPE,https://stockanalysis.com/stocks/hope/,"Hope Bancorp, Inc.",Banks - Regional,1.47B
HOTH,https://stockanalysis.com/stocks/hoth/,"Hoth Therapeutics, Inc.",Biotechnology,4.84M
HOUR,https://stockanalysis.com/stocks/hour/,"Hour Loop, Inc.",Internet Retail,47.78M
HOUS,https://stockanalysis.com/stocks/hous/,Anywhere Real Estate Inc.,Real Estate Services,538.56M
HOV,https://stockanalysis.com/stocks/hov/,"Hovnanian Enterprises, Inc.",Residential Construction,1.24B
HOVR,https://stockanalysis.com/stocks/hovr/,New Horizon Aircraft Ltd.,Aerospace & Defense,17.94M
HOWL,https://stockanalysis.com/stocks/howl/,"Werewolf Therapeutics, Inc.",Biotechnology,97.02M
HP,https://stockanalysis.com/stocks/hp/,"Helmerich & Payne, Inc.",Oil & Gas Drilling,3.24B
HPAI,https://stockanalysis.com/stocks/hpai/,Helport AI Limited,Shell Companies,255.06M
HPCO,https://stockanalysis.com/stocks/hpco/,"Hempacco Co., Inc.",Tobacco,4.15M
HPE,https://stockanalysis.com/stocks/hpe/,Hewlett Packard Enterprise Company,Communication Equipment,24.54B
HPH,https://stockanalysis.com/stocks/hph/,Highest Performances Holdings Inc.,Asset Management,528.38M
HPK,https://stockanalysis.com/stocks/hpk/,"HighPeak Energy, Inc.",Oil & Gas Exploration & Production,1.92B
HPP,https://stockanalysis.com/stocks/hpp/,"Hudson Pacific Properties, Inc.",REIT - Office,733.42M
HPQ,https://stockanalysis.com/stocks/hpq/,HP Inc.,Computer Hardware,34.51B
HQI,https://stockanalysis.com/stocks/hqi/,"HireQuest, Inc.",Staffing & Employment Services,182.63M
HQY,https://stockanalysis.com/stocks/hqy/,"HealthEquity, Inc.",Health Information Services,6.52B
HR,https://stockanalysis.com/stocks/hr/,Healthcare Realty Trust Incorporated,REIT - Healthcare Facilities,6.32B
HRB,https://stockanalysis.com/stocks/hrb/,"H&R Block, Inc.",Personal Services,9.01B
HRI,https://stockanalysis.com/stocks/hri/,Herc Holdings Inc.,Rental & Leasing Services,3.91B
HRL,https://stockanalysis.com/stocks/hrl/,Hormel Foods Corporation,Packaged Foods,17.79B
HRMY,https://stockanalysis.com/stocks/hrmy/,"Harmony Biosciences Holdings, Inc.",Biotechnology,2.09B
HROW,https://stockanalysis.com/stocks/hrow/,"Harrow, Inc.",Drug Manufacturers - Specialty & Generic,1.42B
HRTG,https://stockanalysis.com/stocks/hrtg/,"Heritage Insurance Holdings, Inc.",Insurance - Property & Casualty,425.65M
HRTX,https://stockanalysis.com/stocks/hrtx/,"Heron Therapeutics, Inc.",Biotechnology,300.30M
HRYU,https://stockanalysis.com/stocks/hryu/,"Hanryu Holdings, Inc.",Internet Content & Information,11.09M
HRZN,https://stockanalysis.com/stocks/hrzn/,Horizon Technology Finance Corporation,Asset Management,401.70M
HSAI,https://stockanalysis.com/stocks/hsai/,Hesai Group,Auto Parts,551.98M
HSBC,https://stockanalysis.com/stocks/hsbc/,HSBC Holdings plc,Banks - Diversified,154.97B
HSCS,https://stockanalysis.com/stocks/hscs/,"Heart Test Laboratories, Inc.",Medical Devices,3.06M
HSDT,https://stockanalysis.com/stocks/hsdt/,"Helius Medical Technologies, Inc.",Medical Devices,2.60M
HSHP,https://stockanalysis.com/stocks/hshp/,Himalaya Shipping Ltd.,Marine Shipping,326.05M
HSIC,https://stockanalysis.com/stocks/hsic/,"Henry Schein, Inc.",Medical Distribution,8.85B
HSII,https://stockanalysis.com/stocks/hsii/,"Heidrick & Struggles International, Inc.",Staffing & Employment Services,759.67M
HSON,https://stockanalysis.com/stocks/hson/,"Hudson Global, Inc.",Staffing & Employment Services,49.88M
HSPO,https://stockanalysis.com/stocks/hspo/,Horizon Space Acquisition I Corp.,Shell Companies,87.33M
HST,https://stockanalysis.com/stocks/hst/,"Host Hotels & Resorts, Inc.",REIT - Hotel & Motel,11.89B
HSTM,https://stockanalysis.com/stocks/hstm/,"HealthStream, Inc.",Health Information Services,856.60M
HSY,https://stockanalysis.com/stocks/hsy/,The Hershey Company,Confectioners,39.95B
HTBI,https://stockanalysis.com/stocks/htbi/,"HomeTrust Bancshares, Inc.",Banks - Regional,586.47M
HTBK,https://stockanalysis.com/stocks/htbk/,Heritage Commerce Corp,Banks - Regional,593.33M
HTCR,https://stockanalysis.com/stocks/htcr/,"HeartCore Enterprises, Inc.",Software - Application,13.38M
HTGC,https://stockanalysis.com/stocks/htgc/,"Hercules Capital, Inc.",Asset Management,2.93B
HTH,https://stockanalysis.com/stocks/hth/,Hilltop Holdings Inc.,Banks - Regional,2.04B
HTHT,https://stockanalysis.com/stocks/htht/,H World Group Limited,Lodging,8.94B
HTLD,https://stockanalysis.com/stocks/htld/,"Heartland Express, Inc.",Trucking,967.06M
HTLF,https://stockanalysis.com/stocks/htlf/,"Heartland Financial USA, Inc.",Banks - Regional,2.26B
HTOO,https://stockanalysis.com/stocks/htoo/,Fusion Fuel Green PLC,Utilities - Renewable,11.43M
HTZ,https://stockanalysis.com/stocks/htz/,"Hertz Global Holdings, Inc.",Rental & Leasing Services,1.05B
HUBB,https://stockanalysis.com/stocks/hubb/,Hubbell Incorporated,Electrical Equipment & Parts,20.15B
HUBC,https://stockanalysis.com/stocks/hubc/,HUB Cyber Security Ltd.,Software - Infrastructure,4.81M
HUBG,https://stockanalysis.com/stocks/hubg/,"Hub Group, Inc.",Integrated Freight & Logistics,2.69B
HUBS,https://stockanalysis.com/stocks/hubs/,"HubSpot, Inc.",Software - Application,25.43B
HUDA,https://stockanalysis.com/stocks/huda/,Hudson Acquisition I Corp.,Shell Companies,22.81M
HUDI,https://stockanalysis.com/stocks/hudi/,"Huadi International Group Co., Ltd.",Steel,30.94M
HUIZ,https://stockanalysis.com/stocks/huiz/,Huize Holding Limited,Insurance Brokers,45.95M
HUM,https://stockanalysis.com/stocks/hum/,Humana Inc.,Healthcare Plans,43.17B
HUMA,https://stockanalysis.com/stocks/huma/,"Humacyte, Inc.",Biotechnology,772.20M
HUN,https://stockanalysis.com/stocks/hun/,Huntsman Corporation,Chemicals,3.66B
HURC,https://stockanalysis.com/stocks/hurc/,"Hurco Companies, Inc.",Specialty Industrial Machinery,110.70M
HURN,https://stockanalysis.com/stocks/hurn/,Huron Consulting Group Inc.,Consulting Services,1.74B
HUSA,https://stockanalysis.com/stocks/husa/,Houston American Energy Corp.,Oil & Gas Exploration & Production,12.00M
HUT,https://stockanalysis.com/stocks/hut/,Hut 8 Corp.,Capital Markets,1.11B
HUYA,https://stockanalysis.com/stocks/huya/,HUYA Inc.,Entertainment,969.99M
HVT,https://stockanalysis.com/stocks/hvt/,"Haverty Furniture Companies, Inc.",Home Improvement Retail,468.24M
HVT.A,https://stockanalysis.com/stocks/hvt.a/,"Haverty Furniture Companies, Inc.",Home Improvement Retail,468.66M
HWBK,https://stockanalysis.com/stocks/hwbk/,"Hawthorn Bancshares, Inc.",Banks - Regional,153.01M
HWC,https://stockanalysis.com/stocks/hwc/,Hancock Whitney Corporation,Banks - Regional,4.33B
HWH,https://stockanalysis.com/stocks/hwh/,HWH International Inc.,Leisure,9.79M
HWKN,https://stockanalysis.com/stocks/hwkn/,"Hawkins, Inc.",Specialty Chemicals,2.58B
HWM,https://stockanalysis.com/stocks/hwm/,Howmet Aerospace Inc.,Aerospace & Defense,39.29B
HXL,https://stockanalysis.com/stocks/hxl/,Hexcel Corporation,Aerospace & Defense,5.20B
HY,https://stockanalysis.com/stocks/hy/,"Hyster-Yale, Inc.",Farm & Heavy Construction Machinery,1.07B
HYAC,https://stockanalysis.com/stocks/hyac/,Haymaker Acquisition Corp. 4,Shell Companies,313.50M
HYFM,https://stockanalysis.com/stocks/hyfm/,"Hydrofarm Holdings Group, Inc.",Farm & Heavy Construction Machinery,25.52M
HYLN,https://stockanalysis.com/stocks/hyln/,Hyliion Holdings Corp.,Auto Parts,350.64M
HYMC,https://stockanalysis.com/stocks/hymc/,Hycroft Mining Holding Corporation,Gold,59.57M
HYPR,https://stockanalysis.com/stocks/hypr/,"Hyperfine, Inc.",Medical Devices,76.98M
HYZN,https://stockanalysis.com/stocks/hyzn/,Hyzon Motors Inc.,Auto Parts,17.08M
HZO,https://stockanalysis.com/stocks/hzo/,"MarineMax, Inc.",Specialty Retail,682.05M
IAC,https://stockanalysis.com/stocks/iac/,IAC Inc.,Internet Content & Information,4.42B
IAG,https://stockanalysis.com/stocks/iag/,IAMGOLD Corporation,Gold,3.00B
IART,https://stockanalysis.com/stocks/iart/,Integra LifeSciences Holdings Corporation,Medical Devices,1.63B
IAS,https://stockanalysis.com/stocks/ias/,Integral Ad Science Holding Corp.,Advertising Agencies,1.84B
IAUX,https://stockanalysis.com/stocks/iaux/,i-80 Gold Corp.,Gold,413.65M
IBAC,https://stockanalysis.com/stocks/ibac/,IB Acquisition Corp.,Shell Companies,157.65M
IBCP,https://stockanalysis.com/stocks/ibcp/,Independent Bank Corporation,Banks - Regional,674.12M
IBEX,https://stockanalysis.com/stocks/ibex/,IBEX Limited,Information Technology Services,290.92M
IBIO,https://stockanalysis.com/stocks/ibio/,"iBio, Inc.",Biotechnology,17.76M
IBKR,https://stockanalysis.com/stocks/ibkr/,"Interactive Brokers Group, Inc.",Capital Markets,13.42B
IBM,https://stockanalysis.com/stocks/ibm/,International Business Machines Corporation,Information Technology Services,181.66B
IBN,https://stockanalysis.com/stocks/ibn/,ICICI Bank Limited,Banks - Regional,98.62B
IBOC,https://stockanalysis.com/stocks/iboc/,International Bancshares Corporation,Banks - Regional,3.76B
IBP,https://stockanalysis.com/stocks/ibp/,"Installed Building Products, Inc.",Residential Construction,6.19B
IBRX,https://stockanalysis.com/stocks/ibrx/,"ImmunityBio, Inc.",Biotechnology,3.06B
IBTA,https://stockanalysis.com/stocks/ibta/,"Ibotta, Inc.",Software - Application,1.55B
IBTX,https://stockanalysis.com/stocks/ibtx/,"Independent Bank Group, Inc.",Banks - Regional,2.27B
ICAD,https://stockanalysis.com/stocks/icad/,"iCAD, Inc.",Medical Devices,44.80M
ICCC,https://stockanalysis.com/stocks/iccc/,ImmuCell Corporation,Biotechnology,28.67M
ICCH,https://stockanalysis.com/stocks/icch/,"ICC Holdings, Inc.",Insurance - Specialty,68.24M
ICCM,https://stockanalysis.com/stocks/iccm/,IceCure Medical Ltd,Medical Devices,35.82M
ICCT,https://stockanalysis.com/stocks/icct/,iCoreConnect Inc.,Health Information Services,5.37M
ICD,https://stockanalysis.com/stocks/icd/,"Independence Contract Drilling, Inc.",Oil & Gas Drilling,10.61M
ICE,https://stockanalysis.com/stocks/ice/,"Intercontinental Exchange, Inc.",Financial Data & Stock Exchanges,90.78B
ICFI,https://stockanalysis.com/stocks/icfi/,"ICF International, Inc.",Consulting Services,3.00B
ICG,https://stockanalysis.com/stocks/icg/,Intchains Group Limited,Semiconductors,337.08M
ICHR,https://stockanalysis.com/stocks/ichr/,"Ichor Holdings, Ltd.",Semiconductor Equipment & Materials,1.08B
ICL,https://stockanalysis.com/stocks/icl/,ICL Group Ltd,Agricultural Inputs,5.39B
ICLK,https://stockanalysis.com/stocks/iclk/,iClick Interactive Asia Group Limited,Advertising Agencies,32.10M
ICLR,https://stockanalysis.com/stocks/iclr/,ICON Public Limited Company,Diagnostics & Research,26.76B
ICMB,https://stockanalysis.com/stocks/icmb/,"Investcorp Credit Management BDC, Inc.",Asset Management,47.95M
ICON,https://stockanalysis.com/stocks/icon/,Icon Energy Corp.,Marine Shipping,3.05M
ICU,https://stockanalysis.com/stocks/icu/,SeaStar Medical Holding Corporation,Biotechnology,25.89M
ICUI,https://stockanalysis.com/stocks/icui/,"ICU Medical, Inc.",Medical Instruments & Supplies,3.84B
IDA,https://stockanalysis.com/stocks/ida/,"IDACORP, Inc.",Utilities - Regulated Electric,5.48B
IDAI,https://stockanalysis.com/stocks/idai/,T Stamp Inc.,Software - Application,7.22M
IDCC,https://stockanalysis.com/stocks/idcc/,"InterDigital, Inc.",Software - Application,3.44B
IDN,https://stockanalysis.com/stocks/idn/,"Intellicheck, Inc.",Software - Application,45.12M
IDR,https://stockanalysis.com/stocks/idr/,"Idaho Strategic Resources, Inc.",Gold,146.56M
IDT,https://stockanalysis.com/stocks/idt/,IDT Corporation,Telecom Services,928.42M
IDXX,https://stockanalysis.com/stocks/idxx/,"IDEXX Laboratories, Inc.",Diagnostics & Research,40.74B
IDYA,https://stockanalysis.com/stocks/idya/,"IDEAYA Biosciences, Inc.",Biotechnology,3.35B
IE,https://stockanalysis.com/stocks/ie/,Ivanhoe Electric Inc.,Copper,872.88M
IEP,https://stockanalysis.com/stocks/iep/,Icahn Enterprises L.P.,Oil & Gas Refining & Marketing,7.36B
IESC,https://stockanalysis.com/stocks/iesc/,"IES Holdings, Inc.",Engineering & Construction,3.51B
IEX,https://stockanalysis.com/stocks/iex/,IDEX Corporation,Specialty Industrial Machinery,15.25B
IFBD,https://stockanalysis.com/stocks/ifbd/,"Infobird Co., Ltd",Software - Application,3.95M
IFF,https://stockanalysis.com/stocks/iff/,International Flavors & Fragrances Inc.,Specialty Chemicals,25.63B
IFIN,https://stockanalysis.com/stocks/ifin/,InFinT Acquisition Corporation,Shell Companies,101.11M
IFRX,https://stockanalysis.com/stocks/ifrx/,InflaRx N.V.,Biotechnology,83.03M
IFS,https://stockanalysis.com/stocks/ifs/,Intercorp Financial Services Inc.,Banks - Regional,2.72B
IGC,https://stockanalysis.com/stocks/igc/,"IGC Pharma, Inc.",Biotechnology,30.71M
IGIC,https://stockanalysis.com/stocks/igic/,International General Insurance Holdings Ltd.,Insurance - Diversified,738.22M
IGMS,https://stockanalysis.com/stocks/igms/,"IGM Biosciences, Inc.",Biotechnology,644.20M
IGT,https://stockanalysis.com/stocks/igt/,International Game Technology PLC,Gambling,4.43B
IGTA,https://stockanalysis.com/stocks/igta/,Inception Growth Acquisition Limited,Shell Companies,44.25M
IH,https://stockanalysis.com/stocks/ih/,iHuman Inc.,Education & Training Services,85.83M
IHG,https://stockanalysis.com/stocks/ihg/,InterContinental Hotels Group PLC,Lodging,15.55B
IHRT,https://stockanalysis.com/stocks/ihrt/,"iHeartMedia, Inc.",Broadcasting,236.89M
IHS,https://stockanalysis.com/stocks/ihs/,IHS Holding Limited,Telecom Services,1.20B
IHT,https://stockanalysis.com/stocks/iht/,InnSuites Hospitality Trust,REIT - Hotel & Motel,14.98M
III,https://stockanalysis.com/stocks/iii/,"Information Services Group, Inc.",Information Technology Services,160.37M
IIIN,https://stockanalysis.com/stocks/iiin/,"Insteel Industries, Inc.",Metal Fabrication,641.29M
IIIV,https://stockanalysis.com/stocks/iiiv/,"i3 Verticals, Inc.",Software - Infrastructure,511.47M
IINN,https://stockanalysis.com/stocks/iinn/,Inspira Technologies Oxy B.H.N. Ltd.,Medical Devices,19.51M
IIPR,https://stockanalysis.com/stocks/iipr/,"Innovative Industrial Properties, Inc.",REIT - Industrial,3.47B
IKNA,https://stockanalysis.com/stocks/ikna/,"Ikena Oncology, Inc.",Biotechnology,83.97M
IKT,https://stockanalysis.com/stocks/ikt/,"Inhibikase Therapeutics, Inc.",Biotechnology,10.82M
ILAG,https://stockanalysis.com/stocks/ilag/,Intelligent Living Application Group Inc.,Building Products & Equipment,15.24M
ILMN,https://stockanalysis.com/stocks/ilmn/,"Illumina, Inc.",Diagnostics & Research,21.13B
ILPT,https://stockanalysis.com/stocks/ilpt/,Industrial Logistics Properties Trust,REIT - Industrial,316.72M
IMAB,https://stockanalysis.com/stocks/imab/,I-Mab,Biotechnology,96.84M
IMAX,https://stockanalysis.com/stocks/imax/,IMAX Corporation,Entertainment,1.09B
IMCC,https://stockanalysis.com/stocks/imcc/,IM Cannabis Corp.,Drug Manufacturers - Specialty & Generic,6.32M
IMCR,https://stockanalysis.com/stocks/imcr/,Immunocore Holdings plc,Biotechnology,1.83B
IMKTA,https://stockanalysis.com/stocks/imkta/,"Ingles Markets, Incorporated",Grocery Stores,1.35B
IMMP,https://stockanalysis.com/stocks/immp/,Immutep Limited,Biotechnology,346.18M
IMMR,https://stockanalysis.com/stocks/immr/,Immersion Corporation,Software - Application,318.61M
IMMX,https://stockanalysis.com/stocks/immx/,"Immix Biopharma, Inc.",Biotechnology,62.59M
IMNM,https://stockanalysis.com/stocks/imnm/,"Immunome, Inc.",Biotechnology,912.83M
IMNN,https://stockanalysis.com/stocks/imnn/,"Imunon, Inc.",Biotechnology,19.01M
IMO,https://stockanalysis.com/stocks/imo/,Imperial Oil Limited,Oil & Gas Integrated,39.87B
IMOS,https://stockanalysis.com/stocks/imos/,ChipMOS TECHNOLOGIES INC.,Semiconductors,850.66M
IMPP,https://stockanalysis.com/stocks/impp/,Imperial Petroleum Inc.,Oil & Gas Midstream,108.90M
IMRN,https://stockanalysis.com/stocks/imrn/,Immuron Limited,Biotechnology,16.16M
IMRX,https://stockanalysis.com/stocks/imrx/,Immuneering Corporation,Biotechnology,33.21M
IMTE,https://stockanalysis.com/stocks/imte/,Integrated Media Technology Limited,Electronic Components,3.18M
IMTX,https://stockanalysis.com/stocks/imtx/,Immatics N.V.,Biotechnology,1.19B
IMUX,https://stockanalysis.com/stocks/imux/,"Immunic, Inc.",Biotechnology,146.83M
IMVT,https://stockanalysis.com/stocks/imvt/,"Immunovant, Inc.",Biotechnology,4.75B
IMXI,https://stockanalysis.com/stocks/imxi/,"International Money Express, Inc.",Software - Infrastructure,555.64M
INAB,https://stockanalysis.com/stocks/inab/,"IN8bio, Inc.",Biotechnology,25.38M
INAQ,https://stockanalysis.com/stocks/inaq/,Insight Acquisition Corp.,Shell Companies,79.11M
INBK,https://stockanalysis.com/stocks/inbk/,First Internet Bancorp,Banks - Regional,292.28M
INBS,https://stockanalysis.com/stocks/inbs/,Intelligent Bio Solutions Inc.,Medical Devices,3.86M
INBX,https://stockanalysis.com/stocks/inbx/,"Inhibrx Biosciences, Inc.",Biotechnology,188.91M
INCR,https://stockanalysis.com/stocks/incr/,InterCure Ltd.,Drug Manufacturers - Specialty & Generic,87.96M
INCY,https://stockanalysis.com/stocks/incy/,Incyte Corporation,Biotechnology,12.36B
INDB,https://stockanalysis.com/stocks/indb/,Independent Bank Corp.,Banks - Regional,2.51B
INDI,https://stockanalysis.com/stocks/indi/,"indie Semiconductor, Inc.",Semiconductor Equipment & Materials,765.92M
INDO,https://stockanalysis.com/stocks/indo/,Indonesia Energy Corporation Limited,Oil & Gas Exploration & Production,31.83M
INDP,https://stockanalysis.com/stocks/indp/,"Indaptus Therapeutics, Inc.",Biotechnology,16.21M
INDV,https://stockanalysis.com/stocks/indv/,Indivior PLC,Drug Manufacturers - Specialty & Generic,1.62B
INFA,https://stockanalysis.com/stocks/infa/,Informatica Inc.,Software - Infrastructure,7.45B
INFN,https://stockanalysis.com/stocks/infn/,Infinera Corporation,Communication Equipment,1.43B
INFU,https://stockanalysis.com/stocks/infu/,"InfuSystem Holdings, Inc.",Medical Instruments & Supplies,129.38M
INFY,https://stockanalysis.com/stocks/infy/,Infosys Limited,Information Technology Services,92.46B
ING,https://stockanalysis.com/stocks/ing/,ING Groep N.V.,Banks - Diversified,56.29B
INGN,https://stockanalysis.com/stocks/ingn/,"Inogen, Inc.",Medical Devices,295.78M
INGR,https://stockanalysis.com/stocks/ingr/,Ingredion Incorporated,Packaged Foods,8.62B
INHD,https://stockanalysis.com/stocks/inhd/,Inno Holdings Inc.,Steel,9.34M
INKT,https://stockanalysis.com/stocks/inkt/,"MiNK Therapeutics, Inc.",Biotechnology,33.18M
INLX,https://stockanalysis.com/stocks/inlx/,"Intellinetics, Inc.",Software - Application,38.46M
INM,https://stockanalysis.com/stocks/inm/,InMed Pharmaceuticals Inc.,Biotechnology,3.75M
INMB,https://stockanalysis.com/stocks/inmb/,"INmune Bio, Inc.",Biotechnology,135.36M
INMD,https://stockanalysis.com/stocks/inmd/,InMode Ltd.,Medical Devices,1.35B
INN,https://stockanalysis.com/stocks/inn/,"Summit Hotel Properties, Inc.",REIT - Hotel & Motel,730.18M
INNV,https://stockanalysis.com/stocks/innv/,InnovAge Holding Corp.,Medical Care Facilities,852.64M
INO,https://stockanalysis.com/stocks/ino/,"Inovio Pharmaceuticals, Inc.",Biotechnology,198.11M
INOD,https://stockanalysis.com/stocks/inod/,Innodata Inc.,Information Technology Services,536.00M
INSE,https://stockanalysis.com/stocks/inse/,"Inspired Entertainment, Inc.",Gambling,232.00M
INSG,https://stockanalysis.com/stocks/insg/,Inseego Corp.,Communication Equipment,158.81M
INSM,https://stockanalysis.com/stocks/insm/,Insmed Incorporated,Biotechnology,13.23B
INSP,https://stockanalysis.com/stocks/insp/,"Inspire Medical Systems, Inc.",Medical Devices,5.59B
INST,https://stockanalysis.com/stocks/inst/,"Instructure Holdings, Inc.",Software - Application,3.43B
INSW,https://stockanalysis.com/stocks/insw/,"International Seaways, Inc.",Oil & Gas Midstream,2.49B
INTA,https://stockanalysis.com/stocks/inta/,"Intapp, Inc.",Software - Application,3.17B
INTC,https://stockanalysis.com/stocks/intc/,Intel Corporation,Semiconductors,91.55B
INTE,https://stockanalysis.com/stocks/inte/,Integral Acquisition Corporation 1,Shell Companies,45.13M
INTG,https://stockanalysis.com/stocks/intg/,The InterGroup Corporation,Lodging,39.63M
INTJ,https://stockanalysis.com/stocks/intj/,Intelligent Group Limited,Consulting Services,12.82M
INTR,https://stockanalysis.com/stocks/intr/,"Inter & Co, Inc.",Banks - Regional,3.35B
INTS,https://stockanalysis.com/stocks/ints/,"Intensity Therapeutics, Inc.",Biotechnology,59.22M
INTT,https://stockanalysis.com/stocks/intt/,inTEST Corporation,Semiconductor Equipment & Materials,84.88M
INTU,https://stockanalysis.com/stocks/intu/,Intuit Inc.,Software - Application,187.43B
INTZ,https://stockanalysis.com/stocks/intz/,Intrusion Inc.,Software - Infrastructure,8.57M
INUV,https://stockanalysis.com/stocks/inuv/,"Inuvo, Inc.",Software - Application,38.69M
INVA,https://stockanalysis.com/stocks/inva/,"Innoviva, Inc.",Biotechnology,1.16B
INVE,https://stockanalysis.com/stocks/inve/,"Identiv, Inc.",Building Products & Equipment,82.87M
INVH,https://stockanalysis.com/stocks/invh/,Invitation Homes Inc.,REIT - Residential,22.05B
INVO,https://stockanalysis.com/stocks/invo/,"INVO Bioscience, Inc.",Medical Devices,3.25M
INVZ,https://stockanalysis.com/stocks/invz/,Innoviz Technologies Ltd.,Auto Parts,120.14M
INZY,https://stockanalysis.com/stocks/inzy/,"Inozyme Pharma, Inc.",Biotechnology,321.83M
IOBT,https://stockanalysis.com/stocks/iobt/,"IO Biotech, Inc.",Biotechnology,103.43M
IONQ,https://stockanalysis.com/stocks/ionq/,"IonQ, Inc.",Computer Hardware,1.66B
IONR,https://stockanalysis.com/stocks/ionr/,ioneer Ltd,Other Industrial Metals & Mining,205.12M
IONS,https://stockanalysis.com/stocks/ions/,"Ionis Pharmaceuticals, Inc.",Biotechnology,7.04B
IOR,https://stockanalysis.com/stocks/ior/,"Income Opportunity Realty Investors, Inc.",Mortgage Finance,73.03M
IOSP,https://stockanalysis.com/stocks/iosp/,Innospec Inc.,Specialty Chemicals,2.79B
IOT,https://stockanalysis.com/stocks/iot/,Samsara Inc.,Software - Infrastructure,22.73B
IOVA,https://stockanalysis.com/stocks/iova/,"Iovance Biotherapeutics, Inc.",Biotechnology,3.59B
IP,https://stockanalysis.com/stocks/ip/,International Paper Company,Packaging & Containers,16.74B
IPA,https://stockanalysis.com/stocks/ipa/,ImmunoPrecise Antibodies Ltd.,Biotechnology,24.30M
IPAR,https://stockanalysis.com/stocks/ipar/,"Inter Parfums, Inc.",Household & Personal Products,4.01B
IPDN,https://stockanalysis.com/stocks/ipdn/,"Professional Diversity Network, Inc.",Staffing & Employment Services,5.99M
IPG,https://stockanalysis.com/stocks/ipg/,"The Interpublic Group of Companies, Inc.",Advertising Agencies,11.89B
IPGP,https://stockanalysis.com/stocks/ipgp/,IPG Photonics Corporation,Semiconductor Equipment & Materials,3.15B
IPHA,https://stockanalysis.com/stocks/ipha/,Innate Pharma S.A.,Biotechnology,185.62M
IPI,https://stockanalysis.com/stocks/ipi/,"Intrepid Potash, Inc.",Agricultural Inputs,286.59M
IPSC,https://stockanalysis.com/stocks/ipsc/,"Century Therapeutics, Inc.",Biotechnology,151.64M
IPW,https://stockanalysis.com/stocks/ipw/,iPower Inc.,Internet Retail,47.92M
IPWR,https://stockanalysis.com/stocks/ipwr/,Ideal Power Inc.,Electrical Equipment & Parts,65.48M
IPX,https://stockanalysis.com/stocks/ipx/,IperionX Limited,Other Industrial Metals & Mining,384.04M
IPXX,https://stockanalysis.com/stocks/ipxx/,Inflection Point Acquisition Corp. II,Shell Companies,333.91M
IQ,https://stockanalysis.com/stocks/iq/,"iQIYI, Inc.",Entertainment,2.96B
IQV,https://stockanalysis.com/stocks/iqv/,IQVIA Holdings Inc.,Diagnostics & Research,45.03B
IR,https://stockanalysis.com/stocks/ir/,Ingersoll Rand Inc.,Specialty Industrial Machinery,36.78B
IRAA,https://stockanalysis.com/stocks/iraa/,Iris Acquisition Corp,Shell Companies,77.98M
IRBT,https://stockanalysis.com/stocks/irbt/,iRobot Corporation,"Furnishings, Fixtures & Appliances",243.36M
IRDM,https://stockanalysis.com/stocks/irdm/,Iridium Communications Inc.,Telecom Services,3.17B
IREN,https://stockanalysis.com/stocks/iren/,Iris Energy Limited,Capital Markets,1.62B
IRIX,https://stockanalysis.com/stocks/irix/,IRIDEX Corporation,Medical Devices,32.85M
IRM,https://stockanalysis.com/stocks/irm/,Iron Mountain Incorporated,REIT - Specialty,32.88B
IRMD,https://stockanalysis.com/stocks/irmd/,IRADIMED CORPORATION,Medical Devices,569.51M
IROH,https://stockanalysis.com/stocks/iroh/,Iron Horse Acquisitions Corp.,Shell Companies,89.91M
IRON,https://stockanalysis.com/stocks/iron/,"Disc Medicine, Inc.",Biotechnology,1.47B
IROQ,https://stockanalysis.com/stocks/iroq/,"IF Bancorp, Inc.",Banks - Regional,56.88M
IRS,https://stockanalysis.com/stocks/irs/,IRSA Inversiones y Representaciones Sociedad Anónima,Real Estate Services,1.04B
